WorkerId,Sub Num,Experiment,Link,isExperimentDone?,ST(18)/ET(80),QuestionnairesDone?,Total payment,payment info,Done first test,Done second test,,Gender
6645c9cfd2c8fb647d0af392,pilot54-11,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=31a263028dd995e8cd12afa4ddcee1376bfc6898e0d03e3bfc78c50adf68fa8be6aff81362b51f40e77cbda6ea98ad7cf672a3785631fcbf131b6d1562b7b4fa,,100,,didn't finish,"Time=0, Qs=10, Bonus=0.",1,,problem with the app,
6645c9cfd2c8fb647d0af393,pilot54-12,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=e0be804dd6e5f728f9326092b46d93fd835d9c8cb31a7c8b5b2caee90b7a7a7385991f9127baeb035e9c9ad50c90937b805b2759152fa237da4faea23713c1b2,,100,,didn't finish,"Time=0, Qs=10, Bonus=0.",,,problem with the app,
6645c9cfd2c8fb647d0af394,pilot54-13,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=21324816f3f3912d7d3a6db8186250e17bb43b8a126a917b77befa373bfa19f6e9ecda91fb3ff1e281f1951e00c8ec3e17bc98ec99564115eb38531e6dc93b0d,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,0
6645c9cfd2c8fb647d0af395,pilot54-14,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=d10d3d95df9a8eb91eb82e39c942061a86107375de0144d4c4feb9b14647dd4e0aa307a017623e17ee85a7404aef086b273d61c2749132a0989f09c2840bc520,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,0
6645c9cfd2c8fb647d0af396,pilot54-15,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=f721516db163f46982d833821d4a0fe65aa162750d2917926c9a99971105c2c1640a46cda3d305bbd9c95fa73c035b79ac9922ebb722cf5cddd23dc75775f7e7,,100,,didn't finish,"Time=0, Qs=10, Bonus=0.",1,,stopped playing,
6645c9cfd2c8fb647d0af397,pilot54-16,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=dd0d07963a64d7be817b7ed0dbed72cc7b6b12b044ca06c62150128c05ceff74d4c4361c87a0e68525210f22052d8f539cc3f043fb5b6ffd30c5f13c070f9e4a,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af398,pilot54-17,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=b32103d1c5a332e4a904949ff669f6137552cf71e47982c459f8da78770b4118c2a285f3765c2498635e851ef3a9d8a4e36dd09bdd6a9adfd77cdd3cc0ed5c22,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6649ae29d2c8fb647d0af3fc,pilot54-18,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=2c9f642c68948b2a49bdec655bceda6486a5ab4c0a1801fe9a0ef8ba4f8f5fcc5c91d3eb1dae3fef36b219874e702dc0d1bc53f618e3500c25d00ea4c92d5751,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,,,1
6645c9cfd2c8fb647d0af39a,pilot54-19,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=2cd6845f36282574ec0afd8baf6289656a58ef84cf8d1a777bf4a5ca1245bf277fc1cc74b73b5b1b55c2d655c12208e70708d3a465c4f66fc904f013a3ddbb11,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af39b,pilot54-20,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=320e4b2a0cef4e72adea9ec69baea0b4c3caab2bde7601783d512ed858636c85b609c19a06c30d9bd16690b3a892f2e53a33d67da550496d3f5adaae80007d82,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af39c,pilot54-21,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=27c36c75cab42b064cf99e080ae4bad6700df1c4856a1631c37ee1b3414c5ae54285425e6a1f4a160d3112a791bb6ddbced71752a49bbdba2f32013a39968b33,,100,,didn't finish,"Time=0, Qs=10, Bonus=0.",,,didn't start,
6649b980d2c8fb647d0af409,pilot54-22,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=2e9058726255f35019f9f269b04631c8fe0557bc24a8c64ed44f62334451a4036c3a94ebe4140218e4f36019a6a43912055ede279b9262f8c276361f5aea7ba9,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,1
6645c9cfd2c8fb647d0af39e,pilot54-23,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=142aa24116724d1b7cc063dad199c2f43a8e7278d615ece2da7e92290012fefcea90d136140152bf4e0239913bbafba84c4f5601229cec4d456f33a150eb8a2d,1,100,1,140,"Time=60, Bonus=40, Qs=40",1,1,,0
6645cb96d2c8fb647d0af3a1,pilot52-1,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=8dada4a18192637a75d2c641f6c827c4d789ee6d8b0c23fb99cd0676db03f79a60c2eaf013c3fef503904aa6117acc350c1cc5bef1b5dcaec7a6c3315569f9d4,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,1
6645cb96d2c8fb647d0af3a2,pilot52-2,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=96f9dccb5d43983c63470f41ec135e739f39f9b4140b8322ff9b2e81479fee053616e690fa2791eb5498846e451e74de8dccb4438b51854f097a4b1553861c66,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,,,0
6645cb96d2c8fb647d0af3a4,pilot52-4,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=5a7d6192ae52a2d96fa3a0e4c04020de8af679e31f38eaf29cd7a5afebcab61acaa7b0f29eb09d028f05b3ca17db8a0485429057e5336bb3e8ad7e242515f799,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,,,1
6645cb96d2c8fb647d0af3a5,pilot52-5,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=8922ef1088e1112ccbb78a72cd16d763bb6426d09e5fb30979d7926bd09b2d7c846f62a94cd65b955b55ae019cb2fe470dde8d5f0c8916bdf208781a442de585,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,1
6645cb96d2c8fb647d0af3a6,pilot52-6,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=d3c8108c83da3bc04107b3897c8376a79531a030c99b0294e5f0baca5bf6961383d89e480ba91e0c9c85cca96400575284645260a5597d6d7a40090784a44613,2,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,2 outliers in tests,1
6645cb96d2c8fb647d0af3a7,pilot52-7,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=84e3f9cfbc5400bf169f3337424b98ea1260f7a682b01db5f98d5fe7824bee1c6b62c57f7bbe2f75062a5229d4aa2fb12bd6cf48d76fdee34c823fca71988d67,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,identified wrong dev button,1
6645cb96d2c8fb647d0af3a9,pilot52-9,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=28d4abeb8cc742c2c78b7a472b71da609c51c7c46cac8970fe4834252650fb72607abff3f29cee9bf3644bce108ca12e635edc1946119baa3adc5499b0fc5eea,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,1
6645cb96d2c8fb647d0af3aa,pilot52-10,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=7933ab10a3afde75498a851012462be63621b9b79f87ccdbffddff4b336b03b092e70858a702162eccf3ad3370f6e1e8129bd8ba59787ae0861b8b8e47b7e194,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,0
6645cb96d2c8fb647d0af3ab,pilot52-11,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=7f04b0c1f880cff97eeb60577975a010fe5a50c50b30bf747e137fd76cc6f17731631ab4f259c58a925a6dcc02d7dd833fcf61b38f8cc3e307b89d98c2bff6de,2,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,2 outliers in tests,1
6645cb96d2c8fb647d0af3ac,pilot52-12,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=d31d1ab4ee9934c222df40de2d80a1e762e28065690f40dc0bde455681c7ba253003b367b9bde790ea6e6ac6826dfc74b93e91d01f4b88de786182b0d628867d,2,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,didn't play the first day,0
6645cb96d2c8fb647d0af3ad,pilot52-13,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=03b83b781c40a68568ee6be294cbd5420c5e4e05c9f5e3a432809aebd1e199f1721ac9fd4bcabe17b92c289b6693c51d6dcbac8233581060560083ba6f09cb5c,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,1
6645cb96d2c8fb647d0af3ae,pilot52-14,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=6531a0ed67c260ffbbcf0541689b43b65babfad34cc70e6ce73a6e58e5e5da94db385d2e2b2f13258fc8b8021352a51782ba9a2f0ea618d03f81d88dd028ce0d,,18,,didn't finish,"Time=0, Qs=10, Bonus=0.",,,stopped playing,
6645cb96d2c8fb647d0af3af,pilot52-15,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=2f7ea27efe748d809df044a84c5d5e73ecdbadda42341a7521732b2b7d56e8a45e5461f5d9b19adb0622b760f14e599dc8c856130b64a7c88c17ee89b27c7d94,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,0
6645cb96d2c8fb647d0af3b0,pilot52-16,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=144627ff4b56ad2333192965923a72d3778b7d18bb718503b40b25d800fbb61ffad5b05570bf47aaffba5e17055e1d680628558cea02023a635af77d734bc444,1,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,,1
665ec3e5d2c8fb647d0af6a4,pilot52-17,ST_DevR_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ST_DevR_Mar2024?key=ed8afc4dc953a8f292040ebcf94bbc799e157fa3a53d06362f539bc90b7cd0424fc4856dbdd92bc62c4d61dd1780dbe63daa59c382252a1caec87e7646e3c26b,2,18,1,58,"Time=10, Bonus=8, Qs=40",1,1,2 outliers in tests,1
